Country Name,Date
Austria,1997
Austria,1998
Austria,1999
Austria,2000
Austria,2001
Austria,2002
Austria,2003
Austria,2004
Austria,2005
Austria,2006
Austria,2007
Austria,2008
Austria,2009
Austria,2010
Austria,2011
Austria,2012
Austria,2013
Austria,2014
Austria,2015
Austria,2016
Austria,2017
Austria,2018
Belgium,1997
Belgium,1998
Belgium,1999
Belgium,2000
Belgium,2001
Belgium,2002
Belgium,2003
Belgium,2004
Belgium,2005
Belgium,2006
Belgium,2007
Belgium,2008
Belgium,2009
Belgium,2010
Belgium,2011
Belgium,2012
Belgium,2013
Belgium,2014
Belgium,2015
Belgium,2016
Belgium,2017
Belgium,2018
Czech Republic,1997
Czech Republic,1998
Czech Republic,1999
Czech Republic,2000
Czech Republic,2001
Czech Republic,2002
Czech Republic,2003
Czech Republic,2004
Czech Republic,2005
Czech Republic,2006
Czech Republic,2007
Czech Republic,2008
Czech Republic,2009
Czech Republic,2010
Czech Republic,2011
Czech Republic,2012
Czech Republic,2013
Czech Republic,2014
Czech Republic,2015
Czech Republic,2016
Czech Republic,2017
Czech Republic,2018
France,1997
France,1998
France,1999
France,2000
France,2001
France,2002
France,2003
France,2004
France,2005
France,2006
France,2007
France,2008
France,2009
France,2010
France,2011
France,2012
France,2013
France,2014
France,2015
France,2016
France,2017
France,2018
Germany,1997
Germany,1998
Germany,1999
Germany,2000
Germany,2001
Germany,2002
Germany,2003
Germany,2004
Germany,2005
Germany,2006
Germany,2007
Germany,2008
Germany,2009
Germany,2010
Germany,2011
Germany,2012
Germany,2013
Germany,2014
Germany,2015
Germany,2016
Germany,2017
Germany,2018
Italy,1997
Italy,1998
Italy,1999
Italy,2000
Italy,2001
Italy,2002
Italy,2003
Italy,2004
Italy,2005
Italy,2006
Italy,2007
Italy,2008
Italy,2009
Italy,2010
Italy,2011
Italy,2012
Italy,2013
Italy,2014
Italy,2015
Italy,2016
Italy,2017
Italy,2018
Lithuania,1997
Lithuania,1998
Lithuania,1999
Lithuania,2000
Lithuania,2001
Lithuania,2002
Lithuania,2003
Lithuania,2004
Lithuania,2005
Lithuania,2006
Lithuania,2007
Lithuania,2008
Lithuania,2009
Lithuania,2010
Lithuania,2011
Lithuania,2012
Lithuania,2013
Lithuania,2014
Lithuania,2015
Lithuania,2016
Lithuania,2017
Lithuania,2018
Poland,1997
Poland,1998
Poland,1999
Poland,2000
Poland,2001
Poland,2002
Poland,2003
Poland,2004
Poland,2005
Poland,2006
Poland,2007
Poland,2008
Poland,2009
Poland,2010
Poland,2011
Poland,2012
Poland,2013
Poland,2014
Poland,2015
Poland,2016
Poland,2017
Poland,2018
Portugal,1997
Portugal,1998
Portugal,1999
Portugal,2000
Portugal,2001
Portugal,2002
Portugal,2003
Portugal,2004
Portugal,2005
Portugal,2006
Portugal,2007
Portugal,2008
Portugal,2009
Portugal,2010
Portugal,2011
Portugal,2012
Portugal,2013
Portugal,2014
Portugal,2015
Portugal,2016
Portugal,2017
Portugal,2018
Spain,1997
Spain,1998
Spain,1999
Spain,2000
Spain,2001
Spain,2002
Spain,2003
Spain,2004
Spain,2005
Spain,2006
Spain,2007
Spain,2008
Spain,2009
Spain,2010
Spain,2011
Spain,2012
Spain,2013
Spain,2014
Spain,2015
Spain,2016
Spain,2017
Spain,2018
